,pmid,geneId,index,label
1,28185006,11651,F000008,1
2,28185006,12387,F000008,1
3,28418107,6010,F000001,1
4,28418107,23596,F000001,1
5,30521888,100124700,F000001,1
6,30638933,20668,F000002,1
7,30779940,102185926,F000001,1
8,30930146,18413,F000029,1
9,30930146,20850,F000029,1
10,31383286,12821,F000029,1
11,31383286,12821,F000042,1
12,31847849,21333,F000003,1
13,32245516,11651,F000008,1
14,32293116,7474,F000002,1
15,32293116,7480,F000002,1
16,32293116,51176,F000002,1
17,32295263,3229,F000048,1
18,32295263,6662,F000048,1
19,32295263,11166,F000048,1
20,32295263,3726,F000048,1
21,32295263,9355,F000048,1
22,32295263,7421,F000048,1
23,32295263,2625,F000048,1
24,32299738,54474,F000001,1
25,32302611,450219,F000013,1
26,32302611,450219,F000029,1
27,32339605,723842,F000008,1
28,32339605,22410,F000008,1
29,32542737,63873,F000008,1
30,32615938,102183210,F000013,1
31,32696520,209011,F000029,1
32,32696520,209011,F000003,1
33,32696520,209011,F000013,1
34,32696520,18018,F000029,1
35,32696520,18018,F000013,1
36,32768426,102465809,F000021,1
37,32768426,102466856,F000021,1
38,32768426,102465804,F000021,1
39,32768426,102465817,F000021,1
40,33040410,319742,F000013,1
41,33066831,7042,F000034,1
42,33066831,4087;4088,F000034,1
43,33066831,7042,F000003,1
44,33066831,4087;4088,F000003,1
45,33141445,14179,F000040,1
46,33141445,14179,F000002,1
47,33178821,5595;5594,F000027,1
48,33178821,5595;5594,F000027,1
49,33333231,16952,F000003,1
50,33333231,16952,F000003,1
51,33333231,16952,F000019,1
52,33333231,16952,F000029,1
53,33333231,16952,F000003,1
54,33333231,16952,F000029,1
55,33427027,102190564,F000002,1
56,33427027,102175703,F000002,1
57,33513983,100860828,F000013,1
58,33513983,102177872,F000013,1
59,33513983,100860940,F000013,1
60,33513983,102191136,F000013,1
61,33513983,100861180,F000013,1
62,33513983,100861173,F000013,1
63,33513983,102175609,F000013,1
64,33513983,102170016,F000013,1
65,33513983,102183636,F000013,1
66,33513983,100861004,F000013,1
67,33513983,102174793,F000013,1
68,33513983,102175851,F000013,1
69,33588419,13030,F000013,1
70,33588419,13033,F000013,1
71,33588419,13034,F000013,1
72,33748907,102187530,F000029,1
73,33751552,1499,F000004,1
74,33751552,1499,F000020,1
75,33921970,22340,F000003,1
76,33921970,22339,F000003,1
77,33933312,10197,F000029,1
78,33933312,10197,F000013,1
79,33933312,10197,F000008,1
80,33933312,10197,F000004,1
81,34503498,101105263,F000021,1
82,34503498,443333,F000021,1
83,34503498,101115471,F000021,1
84,34503498,101123618,F000021,1
85,34503498,101109898,F000021,1
86,34503498,101118209,F000021,1
87,34522176,20665,F000021,1
88,35171714,26413,F000029,1
89,35171714,387167,F000003,1
90,35171714,14173,F000003,1
91,35171714,26413,F000029,1
92,35171714,387167,F000029,1
93,35171714,14173,F000029,1
94,35172715,102185926,F000003,1
95,35205386,102466856,F000002,1
96,35205386,102465818,F000002,1
97,35205386,102465809,F000002,1
98,35205386,102466244,F000002,1
99,35205386,102466056,F000002,1
100,35205386,101105675,F000002,1
101,35205386,100302340,F000002,1
102,35205386,101123620,F000002,1
103,35205386,102465818,F000002,1
104,35205386,101115728,F000002,1
105,35440400,7015,F000010,1
106,35440400,648,F000010,1
107,35440400,7015,F000034,1
108,35440400,648,F000034,1
109,35440400,7015,F000001,1
110,35440400,648,F000001,1
111,35469170,14160,F000029,1
112,35469170,14160,F000008,1
113,35619120,14172,F000029,1
114,35619120,12161,F000029,1
115,35619120,22422,F000001,1
116,35619120,22410,F000001,1
117,35619120,20377,F000001,1
118,35648219,13850,F000003,1
119,35650234,8549,F000029,1
120,35672687,101121444,F000021,1
121,35672687,101113129,F000021,1
122,35672687,443079,F000021,1
123,35672687,101104056,F000021,1
124,35672687,101121148,F000021,1
125,35672687,101112309,F000021,1
126,35672687,443175,F000021,1
127,35672687,101118728,F000021,1
128,35672687,101103024,F000021,1
129,35672687,101120159,F000021,1
130,35672687,101119919,F000021,1
131,35672687,100303604,F000021,1
132,35672687,101113656,F000021,1
133,35672687,101114169,F000021,1
134,35741797,104796562,F000029,1
135,35777353,268935,F000003,1
136,35881391,100009482,F000002,1
137,35881391,100352774,F000002,1
138,35881391,100358460,F000002,1
139,35881391,100351316,F000002,1
140,35881391,100328952,F000002,1
141,35881391,100008808,F000002,1
142,35881391,100316908,F000002,1
143,35903712,26926,F000001,1
144,35903712,11545,F000001,1
145,35903712,26926,F000009,1
146,35903712,11545,F000009,1
147,28049551,1499,F000029,1
148,28049551,4609,F000029,1
149,29320989,102182515,F000013,1
150,29320989,102182515,F000003,1
151,30188763,22417,F000002,1
152,30188763,12387,F000002,1
153,30483790,18008,F000043,1
154,30483790,18008,F000013,1
155,31152005,162514,F000002,1
156,31152005,162514,F000003,1
157,31343406,12159,F000029,1
158,31494092,3655,F000031,1
159,31494092,3679,F000031,1
160,31655924,5478,F000003,1
161,31655924,5478,F000034,1
162,31655924,5478,F000001,1
163,31655924,1499,F000001,1
164,31655924,5478,F000034,1
165,31655924,1499,F000034,1
166,31751154,100153306,F000019,1
167,31769892,5468,F000001,1
168,31769892,5468,F000002,1
169,31769892,5468,F000003,1
170,32330194,102060,F000003,1
171,31237401,1499,F000003,1
172,31237401,4693,F000003,1
173,31601058,207,F000034,1
174,31601058,1499,F000034,1
175,31601058,7422,F000003,1
176,31601058,3479,F000003,1
177,31601058,2252,F000003,1
178,31601058,1499,F000034,1
179,31607478,1896,F000027,1
180,31607478,1896,F000034,1
181,31607478,1896,F000027,1
182,31607478,1896,F000003,1
183,31607478,60401,F000003,1
184,31638285,12387,F000034,1
185,31638285,12387,F000003,1
186,31917611,10553,F000013,1
187,31917611,10553,F000013,1
188,32035093,107515,F000029,1
189,32035093,107515,F000013,1
190,32035093,107515,F000002,1
191,32035093,107515,F000029,1
192,32035093,107515,F000013,1
193,32589363,25671,F000029,1
194,32924817,60628,F000029,1
195,32924817,60628,F000029,1
196,32957063,102191242,F000001,1
197,32984299,54448,F000020,1
198,33262781,102174055,F000029,1
199,33262781,100860827,F000029,1
200,33358944,123920,F000029,1
201,33358944,123920,F000029,1
202,34194323,16665,F000029,1
203,34194323,20682,F000029,1
204,34194323,16765,F000008,1
205,34194323,68298,F000008,1
206,34194323,70810,F000008,1
207,34194323,70810,F000016,1
208,34194323,70574,F000016,1
209,34194323,16765,F000016,1
210,34659357,100126577,F000003,1
211,35066002,54800,F000029,1
212,35066002,54800,F000029,1
213,35443150,102179782,F000002,1
214,35524260,102182814,F000002,1
215,35524260,102168233,F000002,1
216,35524260,102179898,F000002,1
217,35524260,102186648,F000002,1
218,35524260,102178478,F000002,1
219,35524260,102174763,F000002,1
220,35524260,102173556,F000002,1
221,35524260,102175609,F000002,1
222,35524260,102176227,F000002,1
223,35524260,102178207,F000002,1
224,35524260,102174391,F000002,1
225,35524260,102179034,F000002,1
226,35524260,102169863,F000002,1
227,35739197,2908,F000008,1
228,35739197,4087;4088,F000029,1
229,35739197,7043,F000029,1
230,35739197,2908,F000029,1
231,35739197,50943,F000029,1
232,35832407,649,F000020,1
233,24750467,7480,F000008,1
234,24750467,22943,F000008,1
235,25939713,55131,F000003,1
236,25939713,406986,F000003,1
237,25939713,8626,F000003,1
238,25939713,175145,F000021,1
239,25939713,406986,F000021,1
240,25939713,8626,F000021,1
241,25939713,8626,F000003,1
242,25939713,175145,F000003,1
243,25939713,406986,F000003,1
244,25939713,8626,F000003,1
245,26023097,67042,F000021,1
246,26653852,6662,F000029,1
247,27109869,239405,F000029,1
248,27109869,239405,F000003,1
249,27109869,239405,F000029,1
250,27109869,239405,F000003,1
251,27458264,652,F000017,1
252,27499692,7474,F000008,1
253,27499692,1499,F000008,1
254,27499692,89780;7474,F000008,1
255,28211089,16000,F000034,1
256,28211089,16000,F000003,1
257,28513105,11477,F000021,1
258,29019741,382056,F000008,1
259,29019741,382056,F000003,1
260,29336472,22416;22418,F000034,1
261,29336472,12387,F000034,1
262,29336472,22416;22418,F000002,1
263,29336472,12387,F000002,1
264,29567388,335,F000001,1
265,29567388,3956,F000001,1
266,29771334,1499,F000003,1
267,29771334,1499,F000035,1
268,30514661,2296,F000029,1
269,30514661,4772,F000029,1
270,31186438,443540,F000002,1
271,31243280,7098,F000008,1
272,31335913,14726,F000003,1
273,31335913,14726,F000013,1
274,31335913,14726,F000029,1
275,31337968,407004,F000029,1
276,31337968,51176,F000029,1
277,31344105,22339,F000003,1
278,31344105,22341,F000003,1
279,31415730,367,F000003,1
280,31443676,5087,F000030,1
281,31443676,5087,F000030,1
282,31715508,2247,F000029,1
283,31715508,6776,F000029,1
284,31715508,2247,F000029,1
285,31715508,6776,F000029,1
286,31721388,3280,F000008,1
287,31721388,3280,F000029,1
288,31721388,3280,F000013,1
289,31721388,6469,F000029,1
290,31721388,6469,F000013,1
291,32549352,100302340,F000002,1
292,32549352,101113044,F000002,1
293,32549352,100294652,F000002,1
294,32549352,100294652,F000002,1
295,32998696,7422,F000002,1
296,33052240,21808,F000008,1
297,33076979,1786,F000029,1
298,33076979,1786,F000029,1
299,33076979,1786,F000008,1
300,33259912,650,F000034,1
301,33259912,650,F000029,1
302,33333220,100359137,F000003,1
303,33333220,100359137,F000003,1
304,33333220,100126569,F000003,1
305,33333220,100009068,F000003,1
306,33333220,100352691,F000003,1
307,33333220,100359137,F000002,1
308,33417145,207,F000034,1
309,33417145,2931,F000034,1
310,33417145,1499,F000034,1
311,33430889,406892,F000003,1
312,33748117,2335,F000029,1
313,33748117,2335,F000008,1
314,33755111,102170938,F000021,1
315,33790465,2621,F000029,1
316,33790465,2621,F000029,1
317,33790465,2621,F000003,1
318,34298337,68588,F000008,1
319,34298337,68588,F000008,1
320,34342114,12043,F000029,1
321,34342114,12043,F000008,1
322,34479087,912,F000001,1
323,34479087,6387,F000001,1
324,34479087,100507436,F000001,1
325,34496034,5468,F000029,1
326,35737933,1435,F000008,1
327,35774980,102180191,F000002,1
328,35774980,102175498,F000002,1
329,35774980,102191347,F000002,1
330,35774980,102174961,F000002,1
331,35774980,102186146,F000002,1
332,35774980,100860901,F000002,1
333,35774980,102190470,F000002,1
334,35774980,102169535,F000002,1
335,35774980,102188081,F000002,1
336,35774980,102181731,F000002,1
337,35774980,102180191,F000002,1
338,35774980,102175498,F000002,1
339,35774980,102191347,F000002,1
340,35774980,102174961,F000002,1
341,35774980,102186146,F000002,1
342,35774980,100860901,F000002,1
343,35774980,102190470,F000002,1
344,35774980,102169535,F000002,1
345,35774980,102188081,F000002,1
346,35774980,102181731,F000002,1
347,35774980,102180191,F000003,1
348,35774980,102175498,F000003,1
349,35774980,102191347,F000003,1
350,35774980,102174961,F000003,1
351,35774980,102186146,F000003,1
352,35774980,100860901,F000003,1
353,35774980,102190470,F000003,1
354,35774980,102169535,F000003,1
355,35774980,102188081,F000003,1
356,35774980,102181731,F000003,1
357,23955574,68911,F000002,1
358,24296159,3791,F000014,1
359,24999588,8743,F000009,1
360,25064514,17863,F000002,1
361,25128627,9355,F000002,1
362,25619112,26926,F000003,1
363,25619112,26926,F000003,1
364,25721772,19226,F000027,1
365,25721772,19227,F000027,1
366,25721772,19228,F000013,1
367,25721772,19227,F000013,1
368,25721772,19228,F000027,1
369,25721772,19228,F000003,1
370,25808706,9355,F000029,1
371,25808706,6662,F000029,1
372,25808706,9355,F000040,1
373,25808706,6662,F000040,1
374,25808706,9355,F000041,1
375,25808706,6662,F000041,1
376,26456821,14388,F000013,1
377,26456821,14388,F000029,1
378,26456821,14388,F000013,1
379,26456821,14388,F000029,1
380,26912458,17300,F000029,1
381,26912458,17300,F000013,1
382,26912458,17300,F000008,1
383,26912458,17300,F000029,1
384,27393687,217344,F000038,1
385,27393687,109602,F000038,1
386,27393687,217344,F000001,1
387,27393687,109602,F000001,1
388,27431245,18008,F000042,1
389,27431245,18008,F000042,1
390,27431245,18008,F000042,1
391,27431245,18008,F000001,1
392,28143780,76626,F000029,1
393,28143780,76626,F000003,1
394,28143780,76626,F000004,1
395,28143780,76626,F000029,1
396,28143780,76626,F000008,1
397,28143780,76626,F000029,1
398,28685843,4780,F000003,1
399,28685843,4780,F000012,1
400,28812580,3939,F000029,1
401,28812580,3939,F000029,1
402,28812580,3939,F000013,1
403,28812580,51660,F000029,1
404,28812580,51660,F000013,1
405,28812580,4609,F000013,1
406,29577917,4488,F000020,1
407,29577917,17702,F000020,1
408,29577917,4488,F000020,1
409,29577917,17702,F000020,1
410,29577917,4488,F000008,1
411,29577917,17702,F000008,1
412,29577917,4488,F000020,1
413,29577917,17702,F000020,1
414,31273189,79923,F000034,1
415,31273189,79923,F000008,1
416,31273189,79923,F000004,1
417,31273189,2247,F000008,1
418,31273189,7476,F000008,1
419,31273189,79923,F000003,1
420,31521610,18780,F000029,1
421,31521610,18780,F000029,1
422,31521610,18780,F000003,1
423,31521610,5599,F000029,1
424,31521610,3725,F000029,1
425,31562859,12156,F000029,1
426,31562859,19211,F000029,1
427,31562859,12156,F000029,1
428,31562859,19211,F000029,1
429,31747615,387222,F000029,1
430,31747615,387222,F000029,1
431,32125089,6716,F000034,1
432,32125089,6716,F000034,1
433,32125089,100766917,F000034,1
434,32125089,100766917,F000034,1
435,32686230,100357293,F000002,1
436,33404138,100351316,F000013,1
437,33404138,100351316,F000001,1
438,33986689,17110,F000003,1
439,33986689,17110,F000003,1
440,33986689,17110,F000003,1
441,34150780,9241,F000003,1
442,35052373,8456,F000002,1
443,35052373,5017,F000002,1
444,35478971,12387,F000054,1
445,35478971,12490,F000054,1
446,35915068,4920,F000029,1
447,32436118,5087,F000030,1
448,32436118,5087,F000030,1
449,32657761,2146,F000029,1
450,32657761,83931,F000029,1
451,32657761,2146,F000003,1
452,32657761,2146,F000020,1
453,32657761,83931,F000020,1
454,32657761,83931,F000003,1
455,32905798,74343,F000008,1
456,32905798,74343,F000029,1
457,32905798,74343,F000029,1
458,33338478,101119216,F000029,1
459,33338478,101112260,F000029,1
460,33351808,102177945,F000001,1
461,33485069,22339,F000001,1
462,33485069,13645,F000001,1
463,33629967,22418,F000029,1
464,33629967,22418,F000029,1
465,33629967,12540,F000029,1
466,33629967,12540,F000029,1
467,34019818,1499,F000013,1
468,34019818,1499,F000008,1
469,34280464,11555,F000029,1
470,34280464,23890,F000013,1
471,34423894,11622,F000013,1
472,34423894,196,F000008,1
473,34867936,6774,F000011,1
474,34946875,101119499,F000002,1
475,34946875,105616722,F000002,1
476,34946875,101105177,F000002,1
477,34946875,101116477,F000002,1
478,34948002,2688,F000001,1
479,35007429,79187,F000029,1
480,35007429,3480,F000029,1
481,35007429,51176,F000029,1
482,35007429,79187,F000003,1
483,35007429,79187,F000029,1
484,35007429,3480,F000029,1
485,35007429,51176,F000029,1
486,35248611,1499,F000003,1
487,35456485,100302178,F000003,1
488,35456485,3229,F000003,1
489,35456485,100302178,F000002,1
490,35456485,596,F000002,1
491,35456485,7472,F000002,1
492,35456485,595,F000002,1
493,35456485,51176,F000002,1
494,35456485,100302178,F000002,1
495,35456485,3229,F000002,1
496,35484750,11651,F000008,1
497,26390813,102171226,F000034,1
498,26390813,102180282,F000003,1
499,26782436,102191082,F000003,1
500,26782436,102168539,F000003,1
501,26992132,232077,F000029,1
502,26992132,232077,F000049,1
503,26992132,232077,F000013,1
504,26992132,232077,F000021,1
505,26992132,232077,F000008,1
506,26992132,232077,F000002,1
507,27110030,21802,F000003,1
508,27766026,7480,F000008,1
509,27766026,7480,F000029,1
510,28155238,13380,F000003,1
511,28321536,207,F000034,1
512,28321536,207,F000003,1
513,28321536,2931,F000003,1
514,28321536,1499,F000003,1
515,28596234,73720,F000021,1
516,29044192,105859,F000003,1
517,29056331,171168,F000029,1
518,29056331,171168,F000029,1
